mol_id,scaffold,batch,method,S1_eV,T1_eV,DEST_eV,DEST_adc2_eV,DEST_scscc2_eV,fosc,SOC_cm,decision_basis,classification,confidence,note
Hz_POZ1_NPh21_CF31,Hz,batch2,ADC(2)/ADC(2) + SCS-CC2/TZVP,3.21674,3.22645,-0.16557,-0.00971,-0.16557,0.038321,,SCS-CC2 override after ADC(2) borderline result,negative_gap,low,"ADC(2)=-0.0097, SCS-CC2=-0.1656, both negative, ΔΔEST=0.156eV>0.05eV, sign confirmed but magnitude is method-dependent"
Hz_Cz1_NPh21_CF31,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.16254,3.29827,-0.13573,-0.13573,,0.01316541,,ADC(2) primary,negative_gap,medium,
Hz_DMAC1_NPh21_CF31,Hz,batch2,ADC(2)/ADC(2),3.22412,3.34446,-0.12034,-0.12034,-0.22033,0.020699,,ADC(2) primary with SCS-CC2 cross-check,negative_gap,medium,"ADC(2)=-0.1203, SCS-CC2=-0.2203, both negative, ΔΔEST=0.100eV>0.05eV, sign confirmed but magnitude is method-dependent"
Hz_NPh22_SO2Ph1,Hz,batch2,ADC(2)/ADC(2),3.21981,3.31513,-0.09532,-0.09532,-0.21444,0.015331,,ADC(2) primary with SCS-CC2 cross-check,negative_gap,medium,"ADC(2)=-0.0953, SCS-CC2=-0.2144, both negative, ΔΔEST=0.119eV>0.05eV, sign confirmed but magnitude is method-dependent"
Hz_NEt21_NPh22,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.51775,3.60633,-0.08858,-0.08858,,0.01530579,,ADC(2) primary,negative_gap,medium,
Hz_DMAC1_NPh21_SO2Ph1,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.15828,3.22394,-0.06566,-0.06566,,0.02266316,,ADC(2) primary,negative_gap,medium,
Hz_NH22_SO2Ph1,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.36969,3.43385,-0.06416,-0.06416,,0.02098645,,ADC(2) primary,negative_gap,medium,
Hz_NPh22_CN1,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.07815,3.13199,-0.05384,-0.05384,,0.04156666,,ADC(2) primary,negative_gap,medium,
Hz_NEt22_CF31,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.43792,3.47385,-0.03593,-0.03593,,0.03099512,,ADC(2) primary,negative_gap,medium,
Hz_DMAC2_SO2Ph1,Hz,batch2,ADC(2)/ADC(2),3.12068,3.15273,-0.03205,-0.03205,,0.002656,,ADC(2) primary,negative_gap,medium,
Hz_NH23,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.82144,4.2049,-0.38346,-0.38346,-0.55787,0.0,,ADC(2) primary with SCS-CC2 cross-check,dark_negative_gap,medium,"ADC(2)=-0.3835, SCS-CC2=-0.5579, both negative, ΔΔEST=0.174eV>0.05eV, sign confirmed but magnitude is method-dependent"
Hz_NPh23,Hz,batch2,ADC(2)/ADC(2),3.42527,3.54808,-0.12281,-0.12281,,3e-06,,ADC(2) primary,dark_negative_gap,medium,
Hz_NPh21_Cz2,Hz,batch2,ADC(2)/ADC(2),3.32306,3.44251,-0.11945,-0.11945,,0.000869,,ADC(2) primary,dark_negative_gap,medium,
Hz_POZ1_DMAC2,Hz,batch2,ADC(2)/ADC(2),2.45848,2.43179,0.02669,0.02669,,0.226285,,ADC(2) primary,borderline_near_zero,low,
POZ-BN,BN-PAH,batch2,ADC(2)/ADC(2),2.7856,2.74704,0.03856,0.03856,,0.10243,,ADC(2) primary,positive_gap,medium,
Hz_NEt22_CN1,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.29681,3.24833,0.04848,0.04848,,0.04773468,,ADC(2) primary,positive_gap,medium,
Hz_NMe22_CN1,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.31531,3.26181,0.0535,0.0535,,0.04573002,,ADC(2) primary,positive_gap,medium,
Hz_POZ2_CN1,Hz,batch2,ADC(2)/ADC(2),3.07798,3.01944,0.05854,0.05854,,0.186207,,ADC(2) primary,positive_gap,medium,
Hz_POZ1_Cz2,Hz,round1,RI-ADC(2)/def2-SVP,3.338,3.271,0.068,0.068,,0.011,,ADC(2) primary,positive_gap,medium,
Hz_POZ1_NPh21_SO2Ph1,Hz,r1_deploy,RI-ADC(2)/def2-SVP,3.21699,3.14732,0.06967,0.06967,,0.01341626,,ADC(2) primary,positive_gap,medium,
Hz_NPh21_POZ2,Hz,round1,RI-ADC(2)/def2-SVP,3.447,3.363,0.083,0.083,,0.003,,ADC(2) primary,positive_gap,medium,
Hz_NH21_POZ2,Hz,round1,RI-ADC(2)/def2-SVP,3.555,3.46,0.095,0.095,,0.097,,ADC(2) primary,positive_gap,medium,
Hz_NMe21_POZ2,Hz,round1,RI-ADC(2)/def2-SVP,3.584,3.482,0.102,0.102,,0.144,,ADC(2) primary,positive_gap,medium,
Hz_NEt21_POZ2,Hz,round1,RI-ADC(2)/def2-SVP,3.554,3.45,0.105,0.105,,0.165,,ADC(2) primary,positive_gap,medium,
Hz_POZ3,Hz,round1,RI-ADC(2)/def2-SVP,3.465,3.356,0.109,0.109,,0.005,,ADC(2) primary,positive_gap,medium,
Hz_POZ2_CF31,Hz,round1,RI-ADC(2)/def2-SVP,3.151,3.041,0.11,0.11,,0.286,0.06,ADC(2) primary,positive_gap,medium,
Hz_NHPh1_POZ2,Hz,round1,RI-ADC(2)/def2-SVP,3.482,3.364,0.118,0.118,,0.121,,ADC(2) primary,positive_gap,medium,
Hz_POZ2_SO2Ph1,Hz,round1,RI-ADC(2)/def2-SVP,3.122,3.004,0.119,0.119,,0.453,0.05,ADC(2) primary,positive_gap,medium,
5AP_NPh2_Me,5AP,r1_deploy,RI-ADC(2)/def2-SVP,1.25484,1.08347,0.17137,0.17137,,0.00118959,,ADC(2) primary,positive_gap,medium,
5AP_NEt2_Ph,5AP,r1_deploy,RI-ADC(2)/def2-SVP,1.73926,1.56656,0.1727,0.1727,,0.00243586,,ADC(2) primary,positive_gap,medium,
5AP_NPh22,5AP,r1_deploy,RI-ADC(2)/def2-SVP,2.53604,2.34064,0.1954,0.1954,,0.00177152,,ADC(2) primary,positive_gap,medium,
BCz3,BN,round1,RI-ADC(2)/def2-SVP,3.502,3.305,0.197,0.197,,0.437,0.32,ADC(2) primary,positive_gap,medium,
5AP_NEt2_NPh2,5AP,batch2,ADC(2)/ADC(2),2.60451,2.38942,0.21509,0.21509,,0.002885,,ADC(2) primary,positive_gap,medium,
5AP_NPh2_OMe,5AP,r1_deploy,RI-ADC(2)/def2-SVP,2.44236,2.22205,0.22031,0.22031,,0.00447032,,ADC(2) primary,positive_gap,medium,
5AP_NMe2_NPh2,5AP,r1_deploy,RI-ADC(2)/def2-SVP,2.61855,2.38858,0.22997,0.22997,,0.00351134,,ADC(2) primary,positive_gap,medium,
